task_id,day,workstream,task,primary_owner,supporting_resources,effort_person_days,dependency,deliverable,gate,status
AML-02,2,AML/CFT/CPF,Execute clear hit false-positive high-risk and unavailable-provider screening cases,Compliance Owner/MLRO,Provider Contact; Engineering,2.0,AML-01,Screening case dataset and provider traces,E-05,Planned
AML-03,3,AML/CFT/CPF,Verify analyst assignment escalation disposition audit trail and retention,Compliance Owner/MLRO,Compliance Analysts; Security Owner,1.5,AML-02,Case lifecycle report,E-05,Planned
AML-04,4,AML/CFT/CPF,Exercise webhook HMAC replay malformed response timeout and provider outage paths,Security Owner,Compliance Owner/MLRO; Provider Contact,1.5,AML-02,Webhook and replay failure report,E-05 hard-stop,Planned
AML-05,5,AML/CFT/CPF,Execute sanctions escalation high-risk disposition and SAR/STR decision workflow,Compliance Owner/MLRO,Legal Counsel; Provider Contact,2.0,AML-03; AML-04,MLRO review and regulatory-channel record,E-05 hard-stop,Planned
AML-06,6,AML/CFT/CPF,Verify Travel Rule fields data minimization retention and access visibility,Compliance Owner/MLRO,Security Owner; Privacy Counsel,1.5,AML-03,Travel Rule and privacy-control evidence,E-05,Planned
AML-07,7,AML/CFT/CPF,Independently replay cases and confirm conflict and recusal controls,Independent Reviewer,Compliance Owner/MLRO; Legal Counsel,1.5,AML-05; AML-06,Independent case-review memorandum,E-05,Planned
AML-08,8,AML/CFT/CPF,Test alternate approved provider or dual-provider outage fail-closed behavior,Compliance Owner/MLRO,Security Owner; Operations Owner,1.5,AML-04; approved second provider,Provider failover report,E-05/E-08 hard-stop,Planned
AML-09,9,AML/CFT/CPF,Package provider authorization screening webhook MLRO and regulatory evidence,Release Manager,Compliance Owner/MLRO; Security Owner,1.0,AML-07; AML-08,Immutable E-05 package,E-05,Planned
AML-10,10,AML/CFT/CPF,Perform independent compliance review and approve evidence,Compliance Owner/MLRO,Independent Reviewer; Legal Counsel,1.0,AML-09,Compliance sign-off memorandum,Reassessment,Planned
DR-01,1,DR/Operations,Freeze release SHA and verify staging inventory backups monitoring WORM and contacts,Release Manager,Operations Owner; Security Owner,1.5,Immutable release candidate,Entry checklist and environment attestation,Entry gate,Planned
DR-02,2,DR/Operations,Capture baseline database ledger queue health SLO and alert metrics,Operations Owner,Security Owner; Treasury/Ledger Witness,1.0,DR-01,Baseline snapshot and metric export,E-06/E-07,Planned
DR-03,3,DR/Operations,Run deployment health gate and controlled service restart,Release Manager,Operations Owner; Security Owner,1.5,DR-02,Deployment and health-gate report,E-06,Planned
DR-04,4,DR/Operations,Run first failover drill and record detection containment failover recovery,Operations Owner,Security Owner; Compliance Owner,2.0,DR-03,Incident timeline and alert receipts,E-08,Planned
DR-05,5,DR/Operations,Execute controlled rollback and post-rollback reconciliation,Release Manager,Operations Owner; Treasury/Ledger Witness,2.0,DR-04; TB-05,Rollback record and reconciliation evidence,E-06 hard-stop,Planned
DR-06,6,DR/Operations,Restore backup into isolated recovery environment and measure RTO/RPO,Operations Owner,Treasury/Ledger Witness; Security Owner,2.0,DR-02,Restore report with RTO/RPO,E-08 hard-stop,Planned
DR-07,7,DR/Operations,Run second DR scenario with monitoring escalation and non-production notifications,Operations Owner,Security Owner; Compliance Owner,1.5,DR-04; DR-06,Second incident timeline and alert delivery record,E-07/E-08,Planned
DR-08,8,DR/Operations,Verify cleanup WORM immutability retention and recovery-integrity controls,Security Owner,Operations Owner; Compliance Owner,1.5,DR-06; DR-07,WORM and evidence-retention verification,E-08/E-09 hard-stop,Planned
DR-09,9,DR/Operations,Package deployment rollback monitoring DR restore and CAP records,Release Manager,Operations Owner; Security Owner,1.0,DR-05; DR-08,Immutable E-06/E-08 package,E-06/E-08,Planned
DR-10,10,DR/Operations,Perform independent operations and security reassessment,Independent Reviewer,Operations Owner; Security Owner; Release Manager,1.5,DR-09,Independent reassessment memorandum,Reassessment,Planned
GOV-01,10,Governance,Freeze exception register and verify all evidence paths hashes timestamps and owners,Release Manager,Independent Reviewer; all workstream owners,1.5,TB-09; AML-09; DR-09,Completed evidence inventory and exception register,Manifest preflight,Planned
GOV-02,11,Governance,Independently verify E-04 E-05 E-06 and E-08 evidence against one release SHA,Independent Reviewer,Release Manager; Security Owner; Compliance Owner; Operations Owner,2.0,GOV-01,Reassessment findings and remediation list,Independent assurance,Planned
GOV-03,12,Governance,Obtain four distinct SHA-bound approvals and run manifest/signature verifier,Release Manager,Security Owner; Compliance Owner; Operations Owner; Independent Reviewer,2.0,GOV-02,Manifest signatures and verifier output,External sign-off,Planned
GOV-04,12,Governance,Issue final reassessment decision and update P0/P1 conditions register,Independent Reviewer,Board/Authorized Signatory; Release Manager,1.0,GOV-03,Decision memorandum and conditions register,Final gate,Planned
